Index	chr	start	end	name	PeakID	gname	blacklist
61	chr1	2525628	2527628	ENSG00000157881	ENSG00000157881	PANK4	0
62	chr1	2529245	2531245	ENSG00000197921	ENSG00000197921	HES5	0
63	chr1	2554639	2556639	ENSG00000157873	ENSG00000157873	TNFRSF14	0
64	chr1	2585491	2587491	ENSG00000157870	ENSG00000157870	FAM213B	0
65	chr1	2631990	2633990	ENSG00000142606	ENSG00000142606	MMEL1	0
66	chr1	2800721	2802721	ENSG00000215912	ENSG00000215912	TTC34	0
67	chr1	3020483	3022483	ENSG00000169717	ENSG00000169717	ACTRT2	0
68	chr1	3068168	3070168	ENSG00000142611	ENSG00000142611	PRDM16	0
69	chr1	3453426	3455426	ENSG00000130762	ENSG00000130762	ARHGEF16	0
70	chr1	3610495	3612495	ENSG00000162591	ENSG00000162591	MEGF6	0
71	chr1	3624002	3626002	ENSG00000158109	ENSG00000158109	TPRG1L	0
72	chr1	3651520	3653520	ENSG00000078900	ENSG00000078900	TP73	0
73	chr1	3651761	3653761	ENSG00000116213	ENSG00000116213	WRAP73	0
74	chr1	3751398	3753398	ENSG00000162592	ENSG00000162592	CCDC27	0
75	chr1	3771788	3773788	ENSG00000235169	ENSG00000235169	SMIM1	0
76	chr1	3795504	3797504	ENSG00000130764	ENSG00000130764	LRRC47	0
77	chr1	3856214	3858214	ENSG00000116198	ENSG00000116198	CEP104	0
78	chr1	3856267	3858267	ENSG00000169598	ENSG00000169598	DFFB	0
79	chr1	3899293	3901293	ENSG00000198912	ENSG00000198912	C1orf174	0
80	chr1	4653732	4655732	ENSG00000196581	ENSG00000196581	AJAP1	0
81	chr1	5990466	5992466	ENSG00000069424	ENSG00000069424	KCNAB2	0
82	chr1	5991473	5993473	ENSG00000131697	ENSG00000131697	NPHP4	0
83	chr1	6179123	6181123	ENSG00000116254	ENSG00000116254	CHD5	0
84	chr1	6204475	6206475	ENSG00000158286	ENSG00000158286	RNF207	0
85	chr1	6208389	6210389	ENSG00000116251	ENSG00000116251	RPL22	0
86	chr1	6234972	6236972	ENSG00000116237	ENSG00000116237	ICMT	0
87	chr1	6243192	6245192	ENSG00000173673	ENSG00000173673	HES3	0
88	chr1	6259975	6261975	ENSG00000158292	ENSG00000158292	GPR153	0
89	chr1	6393391	6395391	ENSG00000097021	ENSG00000097021	ACOT7	0
90	chr1	6423670	6425670	ENSG00000069812	ENSG00000069812	HES2	0
91	chr1	6423788	6425788	ENSG00000187017	ENSG00000187017	ESPN	0
92	chr1	6465195	6467195	ENSG00000215788	ENSG00000215788	TNFRSF25	0
93	chr1	6519061	6521061	ENSG00000171680	ENSG00000171680	PLEKHG5	0
94	chr1	6553535	6555535	ENSG00000162408	ENSG00000162408	NOL9	0
95	chr1	6554181	6556181	ENSG00000173662	ENSG00000173662	TAS1R1	0
96	chr1	6579001	6581001	ENSG00000204859	ENSG00000204859	ZBTB48	0
97	chr1	6612685	6614685	ENSG00000116273	ENSG00000116273	PHF13	0
98	chr1	6613607	6615607	ENSG00000162413	ENSG00000162413	KLHL21	0
99	chr1	6623866	6625866	ENSG00000041988	ENSG00000041988	THAP3	0
100	chr1	6700924	6702924	ENSG00000007923	ENSG00000007923	DNAJC11	0
101	chr1	6784324	6786324	ENSG00000171735	ENSG00000171735	CAMTA1	0
102	chr1	7770269	7772269	ENSG00000049245	ENSG00000049245	VAMP3	0
103	chr1	7783320	7785320	ENSG00000049246	ENSG00000049246	PER3	0
104	chr1	7852512	7854512	ENSG00000049247	ENSG00000049247	UTS2	0
105	chr1	7942165	7944165	ENSG00000049249	ENSG00000049249	TNFRSF9	0
106	chr1	7953291	7955291	ENSG00000116288	ENSG00000116288	PARK7	0
107	chr1	8025308	8027308	ENSG00000116285	ENSG00000116285	ERRFI1	0
108	chr1	8316826	8318826	ENSG00000162426	ENSG00000162426	SLC45A1	0
109	chr1	8816643	8818643	ENSG00000142599	ENSG00000142599	RERE	0
110	chr1	8878249	8880249	ENSG00000074800	ENSG00000074800	ENO1	0
111	chr1	8944867	8946867	ENSG00000131686	ENSG00000131686	CA6	0
112	chr1	9025345	9027345	ENSG00000197241	ENSG00000197241	SLC2A7	0
113	chr1	9087478	9089478	ENSG00000142583	ENSG00000142583	SLC2A5	0
114	chr1	9128170	9130170	ENSG00000180758	ENSG00000180758	GPR157	0
115	chr1	9233775	9235775	ENSG00000049239	ENSG00000049239	H6PD	0
116	chr1	9291880	9293880	ENSG00000171621	ENSG00000171621	SPSB1	0
117	chr1	9538482	9540482	ENSG00000171612	ENSG00000171612	SLC25A33	0
118	chr1	9587922	9589922	ENSG00000188807	ENSG00000188807	TMEM201	0
119	chr1	9650732	9652732	ENSG00000171608	ENSG00000171608	PIK3CD	0
120	chr1	9653586	9655586	ENSG00000179840	ENSG00000179840	C1orf200	0
121	chr1	9823526	9825526	ENSG00000171603	ENSG00000171603	CLSTN1	0
122	chr1	9909336	9911336	ENSG00000178585	ENSG00000178585	CTNNBIP1	0
123	chr1	9942407	9944407	ENSG00000162441	ENSG00000162441	LZIC	0
124	chr1	9942428	9944428	ENSG00000173614	ENSG00000173614	NMNAT1	0
125	chr1	9996206	9998206	ENSG00000162444	ENSG00000162444	RBP7	0
126	chr1	10031832	10033832	ENSG00000130939	ENSG00000130939	UBE4B	0
127	chr1	10209805	10211805	ENSG00000054523	ENSG00000054523	KIF1B	0
128	chr1	10397592	10399592	ENSG00000142657	ENSG00000142657	PGD	0
129	chr1	10429102	10431102	ENSG00000251503	ENSG00000251503	APITD1-CORT	0
130	chr1	10429443	10431443	ENSG00000175279	ENSG00000175279	APITD1	0
131	chr1	10448719	10450719	ENSG00000241563	ENSG00000241563	CORT	0
132	chr1	10471288	10473288	ENSG00000142655	ENSG00000142655	PEX14	0
133	chr1	10471526	10473526	ENSG00000160049	ENSG00000160049	DFFA	0
134	chr1	10795650	10797650	ENSG00000130940	ENSG00000130940	CASZ1	0
135	chr1	10981037	10983037	ENSG00000175262	ENSG00000175262	C1orf127	0
136	chr1	11011662	11013662	ENSG00000277726	ENSG00000277726	TARDBP	0
137	chr1	11046233	11048233	ENSG00000009724	ENSG00000009724	MASP2	0
138	chr1	11059024	11061024	ENSG00000116649	ENSG00000116649	SRM	0
139	chr1	11098881	11100881	ENSG00000171824	ENSG00000171824	EXOSC10	0
140	chr1	11188341	11190341	ENSG00000171819	ENSG00000171819	ANGPTL7	0
141	chr1	11261507	11263507	ENSG00000198793	ENSG00000198793	MTOR	0
142	chr1	11272206	11274206	ENSG00000120942	ENSG00000120942	UBIAD1	0
143	chr1	11478166	11480166	ENSG00000204624	ENSG00000204624	PTCHD2	0
144	chr1	11653375	11655375	ENSG00000132879	ENSG00000132879	FBXO44	0
145	chr1	11654785	11656785	ENSG00000116661	ENSG00000116661	FBXO2	0
146	chr1	11663124	11665124	ENSG00000116663	ENSG00000116663	FBXO6	0
147	chr1	11690650	11692650	ENSG00000116670	ENSG00000116670	MAD2L2	0
148	chr1	11690729	11692729	ENSG00000162490	ENSG00000162490	DRAXIN	0
149	chr1	11735084	11737084	ENSG00000177674	ENSG00000177674	AGTRAP	0
150	chr1	11760787	11762787	ENSG00000215910	ENSG00000215910	C1orf167	0
151	chr1	11805096	11807096	ENSG00000011021	ENSG00000011021	CLCN6	0
152	chr1	11805920	11807920	ENSG00000177000	ENSG00000177000	MTHFR	0
153	chr1	11847345	11849345	ENSG00000175206	ENSG00000175206	NPPA	0
154	chr1	11857931	11859931	ENSG00000120937	ENSG00000120937	NPPB	0
155	chr1	11925428	11927428	ENSG00000116685	ENSG00000116685	KIAA2013	0
156	chr1	11933205	11935205	ENSG00000083444	ENSG00000083444	PLOD1	0
157	chr1	11979181	11981181	ENSG00000116688	ENSG00000116688	MFN2	0
158	chr1	12018466	12020466	ENSG00000116691	ENSG00000116691	MIIP	0
159	chr1	12062377	12064377	ENSG00000120949	ENSG00000120949	TNFRSF8	0
160	chr1	12166003	12168003	ENSG00000028137	ENSG00000028137	TNFRSF1B	0
161	chr1	12229067	12231067	ENSG00000048707	ENSG00000048707	VPS13D	0
162	chr1	12616731	12618731	ENSG00000162496	ENSG00000162496	DHRS3	0
163	chr1	12643547	12645547	ENSG00000204518	ENSG00000204518	AADACL4	0
164	chr1	12715115	12717115	ENSG00000188984	ENSG00000188984	AADACL3	0
165	chr1	12745215	12747215	ENSG00000157330	ENSG00000157330	C1orf158	0
166	chr1	12773841	12775841	ENSG00000116726	ENSG00000116726	PRAMEF12	0
167	chr1	12790397	12792397	ENSG00000116721	ENSG00000116721	PRAMEF1	0
168	chr1	12830410	12832410	ENSG00000239810	ENSG00000239810	PRAMEF11	0
169	chr1	12856086	12858086	ENSG00000120952	ENSG00000120952	PRAMEF2	0
170	chr1	12885201	12887201	ENSG00000243073	ENSG00000243073	PRAMEF4	0
171	chr1	12897270	12899270	ENSG00000187545	ENSG00000187545	PRAMEF10	0
172	chr1	12915610	12917610	ENSG00000204510	ENSG00000204510	PRAMEF7	0
173	chr1	12946578	12948578	ENSG00000179172	ENSG00000179172	HNRNPCL1	0
174	chr1	13028339	13030339	ENSG00000274178	ENSG00000274178	AC245056.1	0
175	chr1	13055491	13057491	ENSG00000232423	ENSG00000232423	PRAMEF6	0
176	chr1	13059853	13061853	ENSG00000229571	ENSG00000229571	PRAMEF26	0
177	chr1	13059869	13061869	ENSG00000277058	ENSG00000277058	AC245056.3	0
178	chr1	13115854	13117854	ENSG00000275774	ENSG00000275774	AC245056.2	0
179	chr1	13154947	13156947	ENSG00000274764	ENSG00000274764	PRAMEF9	0
180	chr1	13253212	13255212	ENSG00000270601	ENSG00000270601	PRAMEF23	0
181	chr1	13284174	13286174	ENSG00000182330	ENSG00000182330	PRAMEF8	0
182	chr1	13346134	13348134	ENSG00000204481	ENSG00000204481	PRAMEF14	0
183	chr1	13370693	13372693	ENSG00000204480	ENSG00000204480	PRAMEF19	0
184	chr1	13388632	13390632	ENSG00000204479	ENSG00000204479	PRAMEF17	0
185	chr1	13409450	13411450	ENSG00000204478	ENSG00000204478	PRAMEF20	0
186	chr1	13513048	13515048	ENSG00000162494	ENSG00000162494	LRRC38	0
187	chr1	13582465	13584465	ENSG00000162493	ENSG00000162493	PDPN	0
188	chr1	13699198	13701198	ENSG00000116731	ENSG00000116731	PRDM2	0
189	chr1	14597704	14599704	ENSG00000189337	ENSG00000189337	KAZN	0
190	chr1	15151532	15153532	ENSG00000171729	ENSG00000171729	TMEM51	0
191	chr1	15170317	15172317	ENSG00000204464	ENSG00000204464	C1orf195	0
192	chr1	15246272	15248272	ENSG00000142621	ENSG00000142621	FHAD1	0
193	chr1	15408895	15410895	ENSG00000142634	ENSG00000142634	EFHD2	0
194	chr1	15437439	15439439	ENSG00000162438	ENSG00000162438	CTRC	0
195	chr1	15455728	15457728	ENSG00000142615	ENSG00000142615	CELA2A	0
196	chr1	15464909	15466909	ENSG00000215704	ENSG00000215704	CELA2B	0
197	chr1	15525534	15527534	ENSG00000132906	ENSG00000132906	CASP9	0
198	chr1	15525813	15527813	ENSG00000116138	ENSG00000116138	DNAJC16	0
199	chr1	15584110	15586110	ENSG00000116771	ENSG00000116771	AGMAT	0
200	chr1	15616500	15618500	ENSG00000197312	ENSG00000197312	DDI2	0
201	chr1	15658869	15660869	ENSG00000215695	ENSG00000215695	RSC1A1	0
202	chr1	15683332	15685332	ENSG00000116786	ENSG00000116786	PLEKHM2	0
203	chr1	15735405	15737405	ENSG00000162461	ENSG00000162461	SLC25A34	0
204	chr1	15741422	15743422	ENSG00000162460	ENSG00000162460	TMEM82	0
205	chr1	15755607	15757607	ENSG00000162458	ENSG00000162458	FBLIM1	0
206	chr1	15846864	15848864	ENSG00000065526	ENSG00000065526	SPEN	0
207	chr1	15975132	15977132	ENSG00000116809	ENSG00000116809	ZBTB17	0
208	chr1	16003236	16005236	ENSG00000183888	ENSG00000183888	C1orf64	0
209	chr1	16017875	16019875	ENSG00000186510	ENSG00000186510	CLCNKA	0
210	chr1	16018594	16020594	ENSG00000173641	ENSG00000173641	HSPB7	0
211	chr1	16042736	16044736	ENSG00000184908	ENSG00000184908	CLCNKB	0
212	chr1	16072632	16074632	ENSG00000185519	ENSG00000185519	FAM131C	0
213	chr1	16155087	16157087	ENSG00000142627	ENSG00000142627	EPHA2	0
214	chr1	16211609	16213609	ENSG00000142632	ENSG00000142632	ARHGEF19	0
215	chr1	16236162	16238162	ENSG00000132881	ENSG00000132881	RSG1	0
216	chr1	16351454	16353454	ENSG00000037637	ENSG00000037637	FBXO42	0
217	chr1	16351575	16353575	ENSG00000055070	ENSG00000055070	SZRD1	0
218	chr1	16436424	16438424	ENSG00000187144	ENSG00000187144	SPATA21	0
219	chr1	16439672	16441672	ENSG00000157191	ENSG00000157191	NECAP2	0
220	chr1	16538066	16540066	ENSG00000268991	ENSG00000268991	FAM231C	0
221	chr1	16612562	16614562	ENSG00000219481	ENSG00000219481	NBPF1	0
222	chr1	16672003	16674003	ENSG00000237847	ENSG00000237847	FAM231A	0
223	chr1	16739273	16741273	ENSG00000058453	ENSG00000058453	CROCC	0
224	chr1	16979835	16981835	ENSG00000117122	ENSG00000117122	MFAP2	0
225	chr1	17010928	17012928	ENSG00000159363	ENSG00000159363	ATP13A2	0
226	chr1	17053170	17055170	ENSG00000117118	ENSG00000117118	SDHB	0
227	chr1	17118435	17120435	ENSG00000117115	ENSG00000117115	PADI2	0
228	chr1	17204126	17206126	ENSG00000142623	ENSG00000142623	PADI1	0
229	chr1	17248098	17250098	ENSG00000142619	ENSG00000142619	PADI3	0
230	chr1	17307195	17309195	ENSG00000159339	ENSG00000159339	PADI4	0
231	chr1	17371196	17373196	ENSG00000276747	ENSG00000276747	PADI6	0
232	chr1	17438724	17440724	ENSG00000179051	ENSG00000179051	RCC2	0
233	chr1	17538835	17540835	ENSG00000074964	ENSG00000074964	ARHGEF10L	0
234	chr1	17754313	17756313	ENSG00000117148	ENSG00000117148	ACTL8	0
235	chr1	18106746	18108746	ENSG00000117154	ENSG00000117154	IGSF21	0
236	chr1	18479982	18481982	ENSG00000179023	ENSG00000179023	KLHDC7A	0
237	chr1	18630006	18632006	ENSG00000009709	ENSG00000009709	PAX7	0
238	chr1	18858682	18860682	ENSG00000179002	ENSG00000179002	TAS1R2	0
239	chr1	18901781	18903781	ENSG00000159423	ENSG00000159423	ALDH4A1	0
240	chr1	18920121	18922121	ENSG00000255275	ENSG00000255275	RP13-279N23.2	0
241	chr1	18955686	18957686	ENSG00000169991	ENSG00000169991	IFFO2	0
242	chr1	19209276	19211276	ENSG00000127481	ENSG00000127481	UBR4	0
243	chr1	19250539	19252539	ENSG00000053372	ENSG00000053372	MRTO4	0
244	chr1	19250552	19252552	ENSG00000127463	ENSG00000127463	EMC1	0
245	chr1	19288250	19290250	ENSG00000162482	ENSG00000162482	AKR7A3	0
246	chr1	19311146	19313146	ENSG00000053371	ENSG00000053371	AKR7A2	0
247	chr1	19311326	19313326	ENSG00000040487	ENSG00000040487	PQLC2	0
248	chr1	19484539	19486539	ENSG00000077549	ENSG00000077549	CAPZB	0
249	chr1	19595977	19597977	ENSG00000173436	ENSG00000173436	MINOS1	0
250	chr1	19595979	19597979	ENSG00000270136	ENSG00000270136	MINOS1-NBL1	0
251	chr1	19639554	19641554	ENSG00000158747	ENSG00000158747	NBL1	0
252	chr1	19664287	19666287	ENSG00000158748	ENSG00000158748	HTR6	0
253	chr1	19798945	19800945	ENSG00000162542	ENSG00000162542	TMCO4	0
254	chr1	19814278	19816278	ENSG00000178828	ENSG00000178828	RNF186	0
255	chr1	19881513	19883513	ENSG00000169914	ENSG00000169914	OTUD3	0
256	chr1	19922617	19924617	ENSG00000188784	ENSG00000188784	PLA2G2E	0
257	chr1	19979416	19981416	ENSG00000188257	ENSG00000188257	PLA2G2A	0
258	chr1	20027179	20029179	ENSG00000127472	ENSG00000127472	PLA2G5	0
259	chr1	20118566	20120566	ENSG00000117215	ENSG00000117215	PLA2G2D	0
260	chr1	20138326	20140326	ENSG00000158786	ENSG00000158786	PLA2G2F	0
261	chr1	20176424	20178424	ENSG00000187980	ENSG00000187980	PLA2G2C	0
262	chr1	20185085	20187085	ENSG00000162543	ENSG00000162543	UBXN10	0
263	chr1	20289919	20291919	ENSG00000158816	ENSG00000158816	VWA5B1	0
264	chr1	20485220	20487220	ENSG00000162545	ENSG00000162545	CAMK2N1	0
265	chr1	20507161	20509161	ENSG00000090432	ENSG00000090432	MUL1	0
266	chr1	20551439	20553439	ENSG00000183114	ENSG00000183114	FAM43B	0
267	chr1	20587948	20589948	ENSG00000158825	ENSG00000158825	CDA	0
268	chr1	20632455	20634455	ENSG00000158828	ENSG00000158828	PINK1	0
269	chr1	20660544	20662544	ENSG00000244038	ENSG00000244038	DDOST	0
270	chr1	20717017	20719017	ENSG00000117245	ENSG00000117245	KIF17	0
271	chr1	20731837	20733837	ENSG00000189410	ENSG00000189410	SH2D5	0
272	chr1	20786323	20788323	ENSG00000127483	ENSG00000127483	HP1BP3	0
273	chr1	21175888	21177888	ENSG00000075151	ENSG00000075151	EIF4G3	0
274	chr1	21344504	21346504	ENSG00000117298	ENSG00000117298	ECE1	0
275	chr1	21439128	21441128	ENSG00000142794	ENSG00000142794	NBPF3	0
276	chr1	21508372	21510372	ENSG00000162551	ENSG00000162551	ALPL	0
277	chr1	21668363	21670363	ENSG00000076864	ENSG00000076864	RAP1GAP	0
278	chr1	21782606	21784606	ENSG00000090686	ENSG00000090686	USP48	0
279	chr1	21811265	21813265	ENSG00000187942	ENSG00000187942	LDLRAD2	0
280	chr1	21936297	21938297	ENSG00000142798	ENSG00000142798	HSPG2	0
281	chr1	21976021	21978021	ENSG00000219073	ENSG00000219073	CELA3B	0
282	chr1	22000656	22002656	ENSG00000142789	ENSG00000142789	CELA3A	0
283	chr1	22051627	22053627	ENSG00000070831	ENSG00000070831	CDC42	0
284	chr1	22142969	22144969	ENSG00000162552	ENSG00000162552	WNT4	0
285	chr1	22450851	22452851	ENSG00000184677	ENSG00000184677	ZBTB40	0
286	chr1	22562564	22564564	ENSG00000070886	ENSG00000070886	EPHA8	0
287	chr1	22635506	22637506	ENSG00000173372	ENSG00000173372	C1QA	0
288	chr1	22642630	22644630	ENSG00000159189	ENSG00000159189	C1QC	0
289	chr1	22651762	22653762	ENSG00000173369	ENSG00000173369	C1QB	0
290	chr1	22709839	22711839	ENSG00000133216	ENSG00000133216	EPHB2	0
291	chr1	22964338	22966338	ENSG00000215906	ENSG00000215906	LACTBL1	0
292	chr1	23014850	23016850	ENSG00000227868	ENSG00000227868	C1orf234	0
293	chr1	23018448	23020448	ENSG00000004487	ENSG00000004487	KDM1A	0
294	chr1	23176808	23178808	ENSG00000169641	ENSG00000169641	LUZP1	0
295	chr1	23193729	23195729	ENSG00000179546	ENSG00000179546	HTR1D	0
296	chr1	23343336	23345336	ENSG00000125944	ENSG00000125944	HNRNPR	0
297	chr1	23367997	23369997	ENSG00000249087	ENSG00000249087	C1orf213	0
298	chr1	23368442	23370442	ENSG00000125945	ENSG00000125945	ZNF436	0
299	chr1	23423740	23425740	ENSG00000204219	ENSG00000204219	TCEA3	0
300	chr1	23483568	23485568	ENSG00000088280	ENSG00000088280	ASAP3	0
301	chr1	23530220	23532220	ENSG00000007968	ENSG00000007968	E2F2	0
302	chr1	23558794	23560794	ENSG00000117318	ENSG00000117318	ID3	0
303	chr1	23580495	23582495	ENSG00000197880	ENSG00000197880	MDS2	0
304	chr1	23690779	23692779	ENSG00000142676	ENSG00000142676	RPL11	0
305	chr1	23742155	23744155	ENSG00000011007	ENSG00000011007	TCEB3	0
306	chr1	23777405	23779405	ENSG00000057757	ENSG00000057757	PITHD1	0
307	chr1	23789970	23791970	ENSG00000011009	ENSG00000011009	LYPLA2	0
308	chr1	23799804	23801804	ENSG00000117308	ENSG00000117308	GALE	0
309	chr1	23837620	23839620	ENSG00000117305	ENSG00000117305	HMGCL	0
310	chr1	23867294	23869294	ENSG00000179163	ENSG00000179163	FUCA1	0
311	chr1	23912362	23914362	ENSG00000188822	ENSG00000188822	CNR2	0
312	chr1	23958109	23960109	ENSG00000189266	ENSG00000189266	PNRC2	0
313	chr1	23979927	23981927	ENSG00000188529	ENSG00000188529	SRSF10	0
314	chr1	24111175	24113175	ENSG00000142661	ENSG00000142661	MYOM3	0
315	chr1	24142121	24144121	ENSG00000142677	ENSG00000142677	IL22RA1	0
316	chr1	24186959	24188959	ENSG00000185436	ENSG00000185436	IFNLR1	0
317	chr1	24318322	24320322	ENSG00000158055	ENSG00000158055	GRHL3	0
318	chr1	24414794	24416794	ENSG00000001461	ENSG00000001461	NIPAL3	0
319	chr1	24415934	24417934	ENSG00000001460	ENSG00000001460	STPG1	0
320	chr1	24501351	24503351	ENSG00000117602	ENSG00000117602	RCAN3	0
321	chr1	24555111	24557111	ENSG00000184454	ENSG00000184454	NCMAP	0
322	chr1	24630716	24632716	ENSG00000133226	ENSG00000133226	SRRM1	0
323	chr1	24744357	24746357	ENSG00000169504	ENSG00000169504	CLIC4	0
324	chr1	24964121	24966121	ENSG00000020633	ENSG00000020633	RUNX3	0
325	chr1	25231502	25233502	ENSG00000117614	ENSG00000117614	SYF2	0
326	chr1	25271393	25273393	ENSG00000187010	ENSG00000187010	RHD	0
327	chr1	25336917	25338917	ENSG00000183726	ENSG00000183726	TMEM50A	0
328	chr1	25337213	25339213	ENSG00000117616	ENSG00000117616	RSRP1	0
329	chr1	25429192	25431192	ENSG00000188672	ENSG00000188672	RHCE	0
330	chr1	25429858	25431858	ENSG00000204178	ENSG00000204178	TMEM57	0
331	chr1	25542580	25544580	ENSG00000157978	ENSG00000157978	LDLRAP1	0
332	chr1	25616468	25618468	ENSG00000117643	ENSG00000117643	MAN1C1	0
333	chr1	25799176	25801176	ENSG00000162430	ENSG00000162430	SEPN1	0
334	chr1	25810470	25812470	ENSG00000255054	ENSG00000255054	RP1-317E23.6	0
335	chr1	25817640	25819640	ENSG00000117640	ENSG00000117640	MTFR1L	0
336	chr1	25858458	25860458	ENSG00000127423	ENSG00000127423	AUNIP	0
337	chr1	25870253	25872253	ENSG00000182749	ENSG00000182749	PAQR7	0
338	chr1	25905991	25907991	ENSG00000117632	ENSG00000117632	STMN1	0
339	chr1	25997157	25999157	ENSG00000158006	ENSG00000158006	PAFAH2	0
340	chr1	26018884	26020884	ENSG00000158008	ENSG00000158008	EXTL1	0
341	chr1	26045133	26047133	ENSG00000158014	ENSG00000158014	SLC30A2	0
342	chr1	26067436	26069436	ENSG00000158022	ENSG00000158022	TRIM63	0
343	chr1	26110165	26112165	ENSG00000175087	ENSG00000175087	PDIK1L	0
344	chr1	26158020	26160020	ENSG00000197245	ENSG00000197245	FAM110D	0
345	chr1	26168871	26170871	ENSG00000142684	ENSG00000142684	ZNF593	0
346	chr1	26176403	26178403	ENSG00000142675	ENSG00000142675	CNKSR1	0
347	chr1	26189561	26191561	ENSG00000188782	ENSG00000188782	CATSPER4	0
